"country";"actor_id";"actor_name";"mechanism_id";"mechanism_name";"relationship_type";"source_id";"citation";"legal_anchor_type";"anchor_strength";"manual_review_required";"notes"
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-009";"SFP";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-008";"FGR";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-009";"SFP";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-012";"administrative_responsibility";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-009";"SFP";"MEX-MECH-012";"administrative_responsibility";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-001";"vote";"reference";"MEX-LGIPE";"MEX-LGIPE 1 Num. 1";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-001";"vote";"reference";"MEX-LGIPE";"MEX-LGIPE 1 Num. 1";"statutory";"4";"false";""
"Mexico";"MEX-ACT-010";"OPLEs";"MEX-MECH-001";"vote";"reference";"MEX-LGIPE";"MEX-LGIPE 1 Num. 1";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-001";"vote";"reference";"MEX-LGIPE";"MEX-LGIPE 3 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-002";"right_to_stand_for_election";"reference";"MEX-LGIPE";"MEX-LGIPE 3 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-002";"right_to_stand_for_election";"reference";"MEX-LGIPE";"MEX-LGIPE 3 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-003";"political_parties";"reference";"MEX-LGIPE";"MEX-LGIPE 3 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-003";"political_parties";"reference";"MEX-LGIPE";"MEX-LGIPE 3 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-010";"OPLEs";"MEX-MECH-003";"political_parties";"obligation";"MEX-LGIPE";"MEX-LGIPE 6 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-010";"legislative_petition_or_participation";"obligation";"MEX-LGIPE";"MEX-LGIPE 6 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-010";"OPLEs";"MEX-MECH-010";"legislative_petition_or_participation";"obligation";"MEX-LGIPE";"MEX-LGIPE 6 Num. 1";"statutory";"4";"true";""
"Mexico";"MEX-ACT-010";"OPLEs";"MEX-MECH-002";"right_to_stand_for_election";"reference";"MEX-LGIPE";"MEX-LGIPE 6 Num. 2";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-006";"popular_consultation";"reference";"MEX-LGIPE";"MEX-LGIPE 7 Num. 4";"statutory";"4";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-LGIPE";"MEX-LGIPE 7 Num. 4";"statutory";"4";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-006";"popular_consultation";"reference";"MEX-LGIPE";"MEX-LGIPE 8 Num. 2";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-LGIPE";"MEX-LGIPE 8 Num. 2";"statutory";"4";"false";""
